Designator,Mid X,Mid Y,Rotation,Layer
C1,115.57,-88.265,0.0,top
C2,107.91,-114.935,180.0,top
C3,141.01,-55.88,0.0,top
D1,140.97,-52.07,0.0,top
D3,77.47,-82.55,270.0,top
D4,130.81,-127.0,90.0,top
J1,86.36,-128.27,0.0,top
J2,76.2,-67.31,0.0,top
J3,107.95,-110.49,0.0,top
J4,71.12,-100.35,0.0,top
J5,149.86,-100.35,0.0,top
J6,87.63,-60.96,90.0,top
J7,143.51,-87.63,0.0,top
R2,85.09,-76.2,270.0,top
R3,123.19,-133.35,90.0,top
SW1,139.7,-132.065,180.0,top
U1,143.51,-82.55,90.0,top
U2,97.79,-134.62,0.0,top
